TEST#	TYPE	SIZE	CREATE	FIND-MIN	IN-ORDER
2	AVL	1740	357901	731	42421	101178
2	AVL	1750	307435	488	46079	102396
2	AVL	1760	417877	976	58025	135798
2	AVL	1770	540265	975	51442	153107
2	AVL	1780	362290	732	42666	100446
2	AVL	1790	308897	487	42421	97277
2	AVL	1800	312067	732	42422	99227
2	AVL	1810	328157	487	43397	99472
2	AVL	1820	332058	487	43884	101178
2	AVL	1830	332790	488	45104	102397
2	AVL	1840	340835	488	46566	101910
2	AVL	1850	320356	488	44615	110930
2	AVL	1860	326451	488	45348	109467
2	AVL	1870	325475	487	45103	103859
2	AVL	1880	340104	731	45103	104591
2	AVL	1890	344005	488	45834	108248
2	AVL	1900	334740	488	46079	113124
2	AVL	1910	335228	731	125801	117756
2	AVL	1920	355220	488	46079	107761
2	AVL	1930	347906	732	48517	106785
2	AVL	1940	336935	732	46323	111418
2	AVL	1950	352781	487	46810	108491
2	AVL	1960	354975	487	49492	109224
2	AVL	1970	343030	488	46810	150182
2	AVL	1980	352781	488	47297	109954
2	AVL	1990	363996	731	47054	112149
2	AVL	2000	359852	732	47298	111173
2	AVL	2010	363996	488	47786	114587
2	AVL	2020	369848	488	47542	115562
2	AVL	2030	366190	487	50711	152376
2	AVL	2040	360095	731	49492	120194
2	AVL	2050	373017	487	48516	115806
2	AVL	2060	372042	488	49492	115562
2	AVL	2070	369360	488	49248	118244
2	AVL	2080	374236	487	49979	116538
2	AVL	2090	375455	732	49492	117757
2	AVL	2100	376186	731	50467	117269
2	AVL	2110	361558	488	50467	118488
2	AVL	2120	378625	732	54612	119707
2	AVL	2130	436650	488	51686	124583
2	AVL	2140	442500	487	63876	134091
2	AVL	2150	383013	488	52173	164322
2	AVL	2160	382526	488	52174	126533
2	AVL	2170	374967	487	52417	126290
2	AVL	2180	391058	487	53149	125314
2	AVL	2190	393009	488	52905	127752
2	AVL	2200	392033	731	53149	126533
2	AVL	2210	383501	488	53393	127265
2	AVL	2220	398129	732	53881	129947
2	AVL	2230	406661	487	54368	129459
2	AVL	2240	401542	487	54368	133360
2	AVL	2250	405931	488	54612	127752
2	AVL	2260	403492	488	56562	127021
2	AVL	2270	385451	488	56319	127264
2	AVL	2280	407149	731	55099	134822
2	AVL	2290	408124	731	54855	133116
2	AVL	2300	411538	488	54856	129459
2	AVL	2310	414220	487	55343	128727
2	AVL	2320	412513	732	55343	128971
2	AVL	2330	418608	731	56074	139455
2	AVL	2340	414219	487	56318	132872
2	AVL	2350	416901	487	56562	135798
2	AVL	2360	422509	732	56562	136285
2	AVL	2370	426897	731	56806	134822
2	AVL	2380	424703	488	57050	184070
2	AVL	2390	426653	487	57293	136529
2	AVL	2400	446645	732	58513	136285
2	AVL	2410	425679	488	57781	136530
2	AVL	2420	427629	488	57781	140673
2	AVL	2430	432261	488	58513	137748
2	AVL	2440	432017	731	61682	179682
2	AVL	2450	434455	731	58512	138236
2	AVL	2460	450790	488	59244	141161
2	AVL	2470	439088	732	61438	138479
2	AVL	2480	438600	488	59244	142625
2	AVL	2490	443963	731	59243	142381
2	AVL	2500	462980	487	62901	139942
2	AVL	2510	449814	487	59731	144331
2	AVL	2520	454691	488	59976	141405
2	AVL	2530	456641	732	60463	143599
2	AVL	2540	450547	488	60951	146525
2	AVL	2550	455422	488	60951	145794
2	AVL	2560	478583	488	61439	145306
2	AVL	2570	460542	488	61926	147012
2	AVL	2580	455910	488	61195	185046
2	AVL	2590	460054	731	61926	186508
2	AVL	2600	459567	732	62170	144819
2	AVL	2610	476145	488	62170	148475
2	AVL	2620	462980	487	62413	149207
2	AVL	2630	513935	488	63389	148719
2	AVL	2640	465418	488	63877	146768
2	AVL	2650	488092	732	63633	148719
2	AVL	2660	470782	731	64851	150669
2	AVL	2670	472976	487	64607	154327
2	AVL	2680	471025	731	65339	150182
2	AVL	2690	472489	488	65339	151157
2	AVL	2700	492236	488	71677	151157
2	AVL	2710	478096	732	65583	151645
2	AVL	2720	480778	732	65583	157983
2	AVL	2730	536364	487	67045	207232
2	AVL	2740	487117	488	66070	155789
2	AVL	2750	484678	731	66314	153839
2	AVL	2760	502720	488	69240	155789
2	AVL	2770	484191	487	66070	201137
2	AVL	2780	487604	731	66557	162860
2	AVL	2790	491017	488	67046	193091
2	AVL	2800	510521	488	67289	168224
2	AVL	2810	509302	732	69727	157252
2	AVL	2820	543923	732	68509	166030
2	AVL	2830	512472	488	68021	164079
2	AVL	2840	501988	488	70458	164079
2	AVL	2850	498575	488	67777	163103
2	AVL	2860	517348	488	68021	159447
2	AVL	2870	526856	488	70459	203087
2	AVL	2880	528563	732	70459	167736
2	AVL	2890	532219	731	71190	226492
2	AVL	2900	523199	487	71190	164322
2	AVL	2910	519054	487	70702	168711
2	AVL	2920	533682	731	69971	179194
2	AVL	2930	541972	731	71434	220641
2	AVL	2940	575860	731	75823	234050
2	AVL	2950	554406	731	72410	191628
2	AVL	2960	724092	732	72166	196504
2	AVL	2970	541484	731	72165	177488
2	AVL	2980	538315	488	70947	166029
2	AVL	2990	540021	731	71678	241120
2	AVL	3000	848187	731	116781	259893
3	AVL	10	3900	487	1219	1707
3	AVL	20	6095	732	1463	2682
3	AVL	30	9508	731	2195	3169
3	AVL	40	11702	731	2438	3900
3	AVL	50	15603	488	2926	4876
3	AVL	60	44859	487	3414	6095
3	AVL	70	19505	731	3657	6339
3	AVL	80	21454	732	3657	7070
3	AVL	90	24624	731	4633	7802
3	AVL	100	26574	732	5120	8777
3	AVL	110	31450	487	5120	9264
3	AVL	120	57294	732	5364	11215
3	AVL	130	33888	731	5852	11946
3	AVL	140	23649	487	4144	8533
3	AVL	150	25843	487	4144	8776
3	AVL	160	68020	731	7558	13410
3	AVL	170	75335	732	7314	14628
3	AVL	180	50955	731	8289	15359
3	AVL	190	51930	731	8289	15847
3	AVL	200	51442	732	9021	16335
3	AVL	210	45835	731	14141	12678
3	AVL	220	57538	488	6095	12677
3	AVL	230	38277	488	6095	12922
3	AVL	240	40227	487	6339	13409
3	AVL	250	56318	488	6582	14628
3	AVL	260	43885	488	6826	14384
3	AVL	270	66071	488	6827	15116
3	AVL	280	46567	488	7314	16091
3	AVL	290	86549	487	7802	17066
3	AVL	300	50224	488	7802	17066
3	AVL	310	73629	488	7802	17066
3	AVL	320	53149	487	8045	17310
3	AVL	330	59244	488	8533	18042
3	AVL	340	56805	488	8533	18529
3	AVL	350	62901	488	8533	18773
3	AVL	360	83868	487	9508	20723
3	AVL	370	61438	488	9509	20723
3	AVL	380	63144	731	9508	20967
3	AVL	390	116294	488	9752	21211
3	AVL	400	66801	487	10240	22430
3	AVL	410	69239	487	10483	21942
3	AVL	420	93132	731	10727	25112
3	AVL	430	77042	488	13410	22917
3	AVL	440	76067	488	10728	27305
3	AVL	450	77286	731	11458	23892
3	AVL	460	94351	488	11215	26331
3	AVL	470	78992	487	11458	25356
3	AVL	480	81917	487	15603	25843
3	AVL	490	82405	487	11946	30476
3	AVL	500	84356	488	12434	27062
3	AVL	510	127752	488	12677	27550
3	AVL	520	105079	488	12677	28037
3	AVL	530	126533	731	13165	29013
3	AVL	540	104591	731	13653	29013
3	AVL	550	107029	488	13897	30719
3	AVL	560	91426	488	13897	31450
3	AVL	570	95083	487	13896	31695
3	AVL	580	95326	487	14628	32425
3	AVL	590	96058	488	14629	32669
3	AVL	600	104104	488	14872	33157
3	AVL	610	115563	488	14872	33158
3	AVL	620	120925	487	15360	34132
3	AVL	630	123364	487	15603	34376
3	AVL	640	124095	488	15603	34376
3	AVL	650	125314	488	15847	34863
3	AVL	660	124583	487	16091	35351
3	AVL	670	109467	488	17066	36327
3	AVL	680	110443	488	16823	36814
3	AVL	690	112636	731	16822	37545
3	AVL	700	131897	488	17309	37789
3	AVL	710	134579	731	17553	38521
3	AVL	720	117025	487	17797	38765
3	AVL	730	119707	487	17553	39740
3	AVL	740	156521	487	18285	40471
3	AVL	750	143843	487	18529	40959
3	AVL	760	125070	488	18772	41203
3	AVL	770	145306	488	18773	41447
3	AVL	780	152132	731	19016	41934
3	AVL	790	129458	488	19748	47786
3	AVL	800	152620	488	19992	43641
3	AVL	810	171637	488	19991	44129
3	AVL	820	135797	487	20235	44372
3	AVL	830	153108	488	20235	44616
3	AVL	840	168711	487	62657	69240
3	AVL	850	160422	488	20967	45835
3	AVL	860	160665	488	20723	45835
3	AVL	870	159202	488	21699	46566
3	AVL	880	313286	731	54612	48029
3	AVL	890	165054	731	21455	47541
3	AVL	900	164810	488	22186	49980
3	AVL	910	168711	732	22186	52661
3	AVL	920	149207	487	22185	49980
3	AVL	930	175050	731	23161	56562
3	AVL	940	171149	488	23161	51442
3	AVL	950	229662	731	69727	67777
3	AVL	960	174075	731	23405	52417
3	AVL	970	162616	488	23649	53880
3	AVL	980	176269	487	25843	53392
3	AVL	990	180901	731	23649	53880
3	AVL	1000	222591	731	24136	54855
3	AVL	1010	187483	487	24380	55100
3	AVL	1020	189191	732	24868	55831
3	AVL	1030	240389	732	26819	109711
3	AVL	1040	189678	487	25112	57050
3	AVL	1050	196260	487	25111	57781
3	AVL	1060	196504	488	26087	58268
3	AVL	1070	192848	488	26331	58756
